"filename", "language", "HTML", "SCSS", "TypeScript", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/app-routing.module.ts", "TypeScript", 0, 0, 2, 0, 0, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/app.component.html", "HTML", 1, 0, 0, 2, 5, 8
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/app.module.ts", "TypeScript", 0, 0, 6, 0, -3, 3
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/check-email/check-email.component.ts", "TypeScript", 0, 0, 0, 1, 0, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/contact-me/contact-me.component.html", "HTML", 1, 0, 0, 0, 1, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/contact-me/contact-me.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/contact-me/contact-me.component.spec.ts", "TypeScript", 0, 0, 17, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/contact-me/contact-me.component.ts", "TypeScript", 0, 0, 8, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/footer-primary/footer-primary.component.html", "HTML", 2, 0, 0, 0, 0, 2
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/footer/footer.component.html", "HTML", 72, 0, 0, 0, 1, 73
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/footer/footer.component.scss", "SCSS", 0, 32, 0, 0, 5, 37
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/footer/footer.component.spec.ts", "TypeScript", 0, 0, 17, 0, 5, 22
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/footer/footer.component.ts", "TypeScript", 0, 0, 8, 0, 3, 11
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/global-styles/_base.scss", "SCSS", 0, 3, 0, 0, 0, 3
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.html", "HTML", 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/header/header.component.scss", "SCSS", 0, 3, 0, 0, 1, 4
"/Users/darrellparkhouse/projects/angular/kaylios/client/src/app/otp-check-email/otp-check-email.component.ts", "TypeScript", 0, 0, 0, 1, 0, 1
"Total", "-", 76, 38, 58, 4, 28, 204
